"year","URL","lat","long","length"
"2017","S33388128",4.74472699482723,-75.6889343,52
"2020","S68319956",35.1459250507082,-85.3212969,57
"2018","S44416886",-12.9061956166146,-71.4024627357143,54
"2021","S82393615",4.70860409486465,-74.35700824,89
"2016","S29024554",4.88204707801876,-73.2435467666667,54
"2017","S35641985",16.265621986524,78.85601165,72
"2018","S106310741",3.69967019592638,101.7347717,63
"2020","S70849649",19.3958003358648,-97.0396938,54
"2022","S106018954",19.3958003358648,-97.0396938,72
"2022","S108409388",19.3958003358648,-97.0396938,67
"2022","S109601899",19.3958003358648,-97.0396938,54
"2022","S110404423",19.3958003358648,-97.0396938,61
"2022","S107062498",3.95949099565002,115.6154417,54
"2017","S35019489",14.3932784872674,101.3844163,62
"2019","S100531374",14.3932784872674,101.3844163,63
"1986","S66435009",4.37119679521622,102.3878467,78
"1986","S66471585",4.37119679521622,102.3878467,57
"1986","S66476659",4.37119679521622,102.3878467,73
"1986","S66601803",4.37119679521622,102.3878467,81
